	gender
0	0
1	1
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	1
13	0
14	1
15	1
16	0
17	0
18	0
19	0
20	0
21	0
22	1
23	0
24	0
25	1
26	0
27	0
28	0
29	0
30	0
31	0
32	1
33	0
34	0
35	1
36	1
37	0
38	0
39	0
40	1
41	0
42	0
43	0
44	0
45	0
46	0
47	1
48	0
49	0
50	1
51	0
52	0
53	1
54	1
55	0
56	1
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	1
65	1
66	0
67	0
68	0
69	1
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	1
81	1
82	1
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	1
91	0
92	0
93	1
94	0
95	1
96	0
97	1
98	0
99	0
100	0
101	1
102	0
103	1
104	0
105	1
106	1
107	0
108	1
109	1
110	0
111	1
112	0
113	0
114	1
115	1
116	0
117	0
118	0
119	0
120	0
121	0
122	1
123	0
124	0
125	0
126	1
127	0
128	1
129	1
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	1
138	0
139	1
140	0
141	0
142	0
143	0
144	1
145	0
146	1
147	0
148	0
149	1
150	1
151	1
152	0
153	0
154	1
155	1
156	1
157	0
158	0
159	1
160	0
161	0
162	0
163	1
164	0
165	1
166	0
167	1
168	0
169	1
170	0
171	0
172	0
173	0
174	0
175	0
176	1
177	0
178	1
179	0
180	1
181	0
182	1
183	1
184	1
185	0
186	0
187	1
188	0
189	0
190	1
191	1
192	0
193	1
194	0
195	1
196	0
197	1
198	0
199	1
200	0
201	0
202	1
203	1
204	1
205	1
206	0
207	1
208	1
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	1
217	1
218	0
219	1
220	1
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	1
229	1
230	1
231	1
232	1
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	1
245	0
246	1
247	0
248	0
249	0
250	1
251	0
252	1
253	0
254	0
255	0
256	1
257	0
258	0
259	0
260	0
261	0
262	0
263	1
264	1
265	0
266	1
267	1
268	1
269	0
270	0
271	0
272	0
273	0
274	1
275	0
276	1
277	0
278	0
279	0
280	0
281	0
282	1
283	1
284	1
285	1
286	0
287	0
288	1
289	0
290	0
291	0
292	0
293	0
294	1
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	1
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	1
312	0
313	0
314	0
315	0
316	1
317	0
318	1
319	0
320	1
321	0
322	1
323	0
324	0
325	1
326	0
327	1
328	0
329	0
330	1
331	0
332	1
333	1
334	0
335	0
336	1
337	0
338	0
339	0
340	0
341	1
342	0
343	0
344	0
345	1
346	0
347	0
348	1
349	0
350	0
351	0
352	1
353	0
354	1
355	1
356	0
357	0
358	1
359	1
360	1
361	0
362	0
363	0
364	1
365	0
366	0
367	0
368	1
369	0
370	1
371	1
372	1
373	0
374	0
375	0
376	1
377	1
378	1
379	1
380	1
381	1
382	1
383	0
384	0
385	0
386	0
387	1
388	0
389	1
390	0
391	1
392	0
393	1
394	1
395	0
396	0
397	0
398	0
399	1
400	0
401	0
402	0
403	1
404	0
405	1
406	0
407	0
408	0
409	1
410	0
411	0
412	1
413	1
414	0
415	0
416	0
417	1
418	0
419	1
420	0
421	1
422	0
423	0
424	0
425	1
426	1
427	0
428	0
429	0
430	0
431	1
432	1
433	0
434	0
435	1
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	1
444	0
445	1
446	0
447	1
448	0
449	1
450	0
451	1
452	1
453	1
454	0
455	0
456	0
457	1
458	1
459	0
460	0
461	0
462	0
463	0
464	1
465	0
466	1
467	0
468	0
469	0
470	1
471	1
472	0
473	1
474	1
475	0
476	1
477	0
478	1
479	0
480	0
481	0
482	1
483	1
484	1
485	0
486	0
487	1
488	1
489	0
490	1
491	1
492	0
493	1
494	0
495	0
496	0
497	0
498	1
499	1
500	0
501	0
502	0
503	1
504	0
505	1
506	0
507	1
508	0
509	0
510	1
511	1
512	0
513	0
514	1
515	1
516	1
517	0
518	1
519	1
520	0
521	1
522	0
523	0
524	0
525	0
526	0
527	1
528	0
529	0
530	0
531	0
532	0
533	1
534	0
535	0
536	1
537	0
538	1
539	0
540	1
541	1
542	0
543	1
544	0
545	0
546	0
547	1
548	1
549	1
550	0
551	0
552	1
553	0
554	0
555	1
556	1
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	1
565	0
566	0
567	0
568	0
569	0
570	1
571	1
572	0
573	0
574	0
575	0
576	0
577	0
578	1
579	1
580	0
581	0
582	0
583	0
584	1
585	1
586	0
587	0
588	1
589	0
590	1
591	1
592	0
593	1
594	0
595	0
596	0
597	1
598	0
599	1
600	1
601	0
602	0
603	0
604	0
605	0
606	0
607	0
608	1
609	1
610	1
611	1
612	0
613	0
614	0
615	1
616	1
617	0
618	0
619	0
620	0
621	1
622	0
623	1
624	1
625	0
626	1
627	0
628	1
629	1
630	1
631	0
632	0
633	0
634	0
635	0
636	1
637	0
638	0
639	0
640	1
641	1
642	1
643	0
644	1
645	1
646	0
647	1
648	0
649	0
650	0
651	0
652	1
653	0
654	1
655	0
656	0
657	0
658	0
659	1
660	1
661	0
662	0
663	0
664	1
665	1
666	0
667	0
668	1
669	1
670	1
671	0
672	0
673	1
674	0
675	0
676	0
677	0
678	1
679	0
680	1
681	1
682	1
683	0
684	0
685	0
686	0
687	1
688	0
689	0
690	0
691	1
692	0
693	1
694	1
695	1
696	0
697	0
698	0
699	1
700	1
701	1
702	0
703	0
704	0
705	0
706	0
707	0
708	0
709	0
710	1
711	0
712	1
713	1
714	1
715	0
716	0
717	1
718	1
719	0
720	0
721	0
722	1
723	1
724	0
725	0
726	1
727	0
728	1
729	1
730	0
731	0
732	0
733	0
734	1
735	1
736	1
737	1
738	0
739	0
740	0
741	1
742	0
743	0
744	0
745	0
746	1
747	0
748	1
749	1
750	0
751	0
752	1
753	1
754	0
755	1
756	1
757	1
758	1
759	1
760	1
761	1
762	0
763	1
764	1
765	1
766	0
767	0
768	1
769	1
770	1
771	0
772	1
773	1
774	1
775	1
776	1
777	1
778	0
779	1
780	0
781	0
782	0
783	1
784	0
785	0
786	0
787	0
788	0
789	0
790	0
791	0
792	0
793	1
794	1
795	1
796	0
797	0
798	0
799	0
800	1
801	0
802	0
803	1
804	0
805	1
806	1
807	1
808	0
809	1
810	1
811	0
812	1
813	1
814	1
815	0
816	0
817	1
818	0
819	1
820	0
821	1
822	1
823	0
824	1
825	0
826	1
827	1
828	1
829	1
830	0
831	1
832	1
833	1
834	0
835	0
836	1
837	0
838	0
839	0
840	0
841	0
842	1
843	1
844	0
845	0
846	1
847	0
848	0
849	1
850	1
851	0
852	0
853	0
854	1
855	0
856	0
857	1
858	1
859	0
860	1
861	0
862	0
863	1
864	1
865	1
866	0
867	0
868	0
869	0
870	1
871	1
872	1
873	1
874	1
875	0
876	0
877	0
878	1
879	0
880	0
881	0
882	1
883	0
884	1
885	1
886	0
887	0
888	1
889	0
890	0
891	1
892	0
893	0
894	0
895	0
896	0
897	0
898	1
899	1
900	1
901	0
902	1
903	0
904	1
905	1
906	1
907	1
908	0
909	1
910	0
911	1
912	1
913	0
914	0
915	0
916	0
917	1
918	0
919	0
920	1
921	1
922	0
923	1
924	0
925	0
926	1
927	0
928	0
929	0
930	0
931	0
932	0
933	0
934	1
935	1
936	0
937	1
938	0
939	0
940	0
941	1
942	1
943	0
944	0
945	1
946	1
947	0
948	0
949	1
950	0
951	0
952	0
953	1
954	0
955	1
956	1
957	0
958	1
959	0
960	1
961	0
962	0
963	0
964	0
965	1
966	1
967	0
968	1
969	0
970	0
971	0
972	1
973	1
974	0
975	0
976	0
977	0
978	1
979	0
980	0
981	0
982	1
983	1
984	0
985	0
986	1
987	0
988	1
989	0
990	0
991	0
992	0
993	1
994	0
995	0
996	0
997	1
998	0
999	1
1000	1
1001	0
1002	0
1003	1
1004	0
1005	0
1006	1
1007	1
1008	0
1009	0
1010	0
1011	0
1012	1
1013	0
1014	0
1015	1
1016	0
1017	1
1018	1
1019	0
1020	1
1021	0
1022	0
1023	0
1024	0
1025	0
1026	0
1027	0
1028	1
1029	0
1030	0
1031	0
1032	0
1033	0
1034	1
1035	0
1036	0
1037	1
1038	1
1039	0
1040	0
1041	0
1042	0
1043	1
1044	0
1045	1
1046	0
1047	1
1048	0
1049	1
1050	0
1051	0
1052	0
1053	0
1054	0
1055	0
1056	0
1057	0
1058	0
1059	1
1060	0
