	race
0	0
1	0
2	0
3	1
4	0
5	0
6	1
7	1
8	0
9	0
10	0
11	1
12	0
13	0
14	0
15	0
16	1
17	0
18	1
19	0
20	0
21	1
22	1
23	1
24	0
25	1
26	0
27	1
28	0
29	0
30	1
31	1
32	1
33	1
34	1
35	1
36	0
37	0
38	0
39	0
40	0
41	0
42	1
43	1
44	0
45	1
46	1
47	0
48	0
49	1
50	0
51	0
52	1
53	1
54	1
55	1
56	1
57	0
58	0
59	0
60	0
61	1
62	0
63	0
64	0
65	0
66	1
67	0
68	0
69	0
70	0
71	0
72	1
73	0
74	1
75	0
76	1
77	0
78	0
79	1
80	1
81	0
82	1
83	1
84	1
85	0
86	0
87	0
88	0
89	1
90	0
91	0
92	1
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	1
104	1
105	0
106	1
107	0
108	1
109	1
110	1
111	1
112	0
113	0
114	1
115	0
116	0
117	0
118	1
119	1
120	1
121	0
122	0
123	0
124	0
125	0
126	1
127	1
128	1
129	1
130	1
131	1
132	0
133	1
134	1
135	0
136	1
137	0
138	0
139	0
140	0
141	1
142	1
143	1
144	0
145	1
146	0
147	0
148	0
149	1
150	0
151	1
152	0
153	1
154	0
155	1
156	0
157	1
158	0
159	1
160	0
161	0
162	0
163	1
164	0
165	0
166	0
167	0
168	1
169	1
170	0
171	0
172	0
173	1
174	0
175	1
176	0
177	1
178	1
179	0
180	1
181	0
182	0
183	1
184	0
185	1
186	1
187	1
188	1
189	0
190	1
191	0
192	0
193	0
194	1
195	1
196	1
197	0
198	0
199	1
200	0
201	1
202	1
203	0
204	0
205	0
206	0
207	0
208	1
209	1
210	0
211	1
212	1
213	0
214	0
215	0
216	1
217	0
218	0
219	0
220	0
221	1
222	1
223	1
224	1
225	1
226	0
227	0
228	1
229	1
230	0
231	0
232	0
233	1
234	1
235	0
236	0
237	0
238	1
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	1
249	0
250	1
251	1
252	0
253	0
254	1
255	0
256	0
257	0
258	1
259	0
260	0
261	1
262	1
263	0
264	1
265	1
266	1
267	1
268	0
269	1
270	1
271	0
272	0
273	0
274	0
275	0
276	1
277	1
278	1
279	1
280	0
281	1
282	1
283	0
284	1
285	1
286	1
287	1
288	0
289	1
290	0
291	1
292	1
293	1
294	0
295	1
296	0
297	0
298	0
299	1
300	1
301	1
302	0
303	0
304	0
305	1
306	1
307	1
308	0
309	1
310	0
311	0
312	1
313	1
314	1
315	0
316	0
317	0
318	1
319	1
320	1
321	0
322	0
323	0
324	0
325	1
326	1
327	0
328	1
329	1
330	1
331	0
332	1
333	1
334	0
335	1
336	0
337	1
338	0
339	0
340	1
341	1
342	0
343	0
344	0
345	1
346	0
347	0
348	1
349	0
350	0
351	1
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	1
364	0
365	0
366	1
367	0
368	0
369	0
370	0
371	1
372	1
373	0
374	0
375	1
376	0
377	1
378	0
379	1
380	1
381	1
382	0
383	0
384	1
385	1
386	1
387	1
388	0
389	1
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	1
400	0
401	1
402	1
403	1
404	0
405	0
406	1
407	0
408	0
409	0
410	0
411	0
412	0
413	1
414	1
415	1
416	1
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	1
432	0
433	1
434	1
435	1
436	0
437	1
438	0
439	1
440	1
441	0
442	1
443	0
444	0
445	1
446	1
447	0
448	1
449	0
450	0
451	0
452	1
453	0
454	0
455	1
456	1
457	0
458	1
459	0
460	0
461	0
462	0
463	1
464	0
465	0
466	0
467	0
468	0
469	0
470	1
471	1
472	1
473	0
474	1
475	0
476	0
477	0
478	0
479	0
480	1
481	0
482	0
483	1
484	0
485	1
486	0
487	1
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	1
497	0
498	0
499	0
500	0
501	1
502	1
503	0
504	1
505	0
506	1
507	0
508	0
509	0
510	1
511	0
512	1
513	1
514	0
515	0
516	0
517	1
518	0
519	0
520	0
521	1
522	0
523	0
524	1
525	1
526	0
527	0
528	0
529	0
530	0
531	1
532	1
