	two_year_recid
0	1
1	1
2	0
3	0
4	0
5	1
6	1
7	1
8	1
9	0
10	0
11	0
12	1
13	1
14	0
15	0
16	1
17	0
18	1
19	0
20	0
21	0
22	1
23	1
24	1
25	1
26	1
27	0
28	0
29	0
30	1
31	0
32	0
33	0
34	1
35	1
36	0
37	1
38	0
39	0
40	0
41	0
42	1
43	1
44	1
45	0
46	1
47	0
48	0
49	0
50	1
51	1
52	1
53	0
54	0
55	0
56	0
57	1
58	1
59	1
60	1
61	0
62	0
63	0
64	0
65	0
66	0
67	1
68	0
69	0
70	0
71	0
72	0
73	0
74	1
75	0
76	1
77	1
78	1
79	1
80	0
81	0
82	0
83	0
84	0
85	0
86	1
87	0
88	1
89	1
90	0
91	0
92	1
93	1
94	1
95	0
96	0
97	1
98	1
99	0
100	1
101	1
102	1
103	1
104	0
105	0
106	0
107	1
108	0
109	1
110	0
111	1
112	1
113	0
114	0
115	0
116	0
117	1
118	0
119	1
120	0
121	0
122	1
123	1
124	0
125	1
126	0
127	0
128	0
129	1
130	0
131	0
132	1
133	1
134	0
135	0
136	1
137	0
138	0
139	1
140	1
141	1
142	0
143	1
144	0
145	0
146	0
147	0
148	1
149	0
150	0
151	0
152	0
153	0
154	0
155	1
156	1
157	1
158	0
159	1
160	0
161	0
162	0
163	0
164	0
165	1
166	0
167	1
168	1
169	1
170	0
171	1
172	1
173	0
174	0
175	1
176	1
177	0
178	1
179	0
180	0
181	1
182	1
183	0
184	1
185	1
186	0
187	1
188	0
189	1
190	1
191	0
192	0
193	0
194	1
195	0
196	0
197	1
198	1
199	0
200	0
201	0
202	1
203	1
204	1
205	1
206	1
207	0
208	0
209	0
210	0
211	0
212	1
213	1
214	1
215	0
216	0
217	1
218	1
219	1
220	0
221	0
222	0
223	0
224	1
225	0
226	0
227	1
228	0
229	0
230	1
231	0
232	1
233	0
234	0
235	0
236	1
237	0
238	0
239	0
240	0
241	1
242	0
243	1
244	0
245	0
246	1
247	0
248	0
249	0
250	0
251	0
252	1
253	1
254	1
255	1
256	0
257	1
258	1
259	0
260	1
261	0
262	1
263	0
264	1
265	1
266	1
267	0
268	0
269	0
270	0
271	0
272	1
273	1
274	1
275	1
276	1
277	0
278	0
279	1
280	0
281	1
282	0
283	0
284	0
285	1
286	0
287	1
288	1
289	1
290	1
291	0
292	0
293	1
294	1
295	0
296	0
297	0
298	1
299	0
300	0
301	1
302	0
303	1
304	1
305	1
306	0
307	0
308	0
309	0
310	1
311	1
312	1
313	0
314	0
315	1
316	0
317	1
318	1
319	0
320	1
321	0
322	0
323	0
324	1
325	1
326	1
327	0
328	1
329	0
330	0
331	0
332	0
333	1
334	0
335	1
336	0
337	0
338	1
339	0
340	1
341	0
342	0
343	0
344	0
345	1
346	0
347	1
348	1
349	1
350	0
351	0
352	0
353	0
354	0
355	1
356	0
357	0
358	1
359	1
360	1
361	1
362	0
363	0
364	1
365	0
366	0
367	0
368	0
369	0
370	1
371	1
372	0
373	0
374	1
375	0
376	0
377	1
378	1
379	0
380	0
381	0
382	0
383	0
384	1
385	0
386	1
387	0
388	1
389	1
390	0
391	0
392	0
393	1
394	1
395	0
396	1
397	0
398	0
399	1
400	0
401	1
402	0
403	1
404	0
405	1
406	0
407	1
408	0
409	0
410	0
411	0
412	0
413	1
414	0
415	1
416	1
417	1
418	0
419	0
420	1
421	0
422	1
423	0
424	0
425	1
426	0
427	0
428	0
429	1
430	1
431	1
432	0
433	0
434	0
435	0
436	0
437	0
438	1
439	1
440	0
441	0
442	0
443	1
444	0
445	0
446	1
447	1
448	0
449	0
450	1
451	0
452	1
453	0
454	1
455	1
456	1
457	1
458	0
459	1
460	0
461	0
462	0
463	0
464	0
465	1
466	0
467	0
468	1
469	1
470	1
471	0
472	1
473	0
474	0
475	0
476	0
477	1
478	1
479	1
480	1
481	1
482	0
483	0
484	1
485	1
486	0
487	1
488	1
489	0
490	1
491	0
492	1
493	0
494	0
495	1
496	0
497	0
498	0
499	1
500	0
501	1
502	1
503	1
504	1
505	0
506	1
507	1
508	1
509	1
510	0
511	0
512	1
513	1
514	0
515	0
516	0
517	1
518	0
519	0
520	0
521	1
522	0
523	0
524	0
525	0
526	0
527	1
528	1
529	0
530	1
531	1
532	1
533	0
534	1
535	1
536	1
537	0
538	0
539	1
540	1
541	0
542	0
543	1
544	1
545	1
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	1
555	1
556	0
557	1
558	1
559	0
560	0
561	0
562	1
563	0
564	1
565	1
566	1
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	1
580	1
581	1
582	0
583	0
584	0
585	1
586	0
587	1
588	0
589	0
590	0
591	1
592	1
593	0
594	1
595	1
596	0
597	0
598	1
599	0
600	0
601	0
602	0
603	1
604	0
605	0
606	1
607	0
608	1
609	0
610	1
611	1
612	0
613	1
614	1
615	0
616	0
617	1
618	0
619	0
620	1
621	0
622	1
623	1
624	0
625	1
626	0
627	1
628	1
629	0
630	1
631	1
632	1
633	1
634	0
635	1
636	0
637	1
638	0
639	1
640	0
641	0
642	1
643	1
644	1
645	0
646	1
647	0
648	0
649	0
650	0
651	0
652	1
653	1
654	0
655	1
656	1
657	0
658	1
659	0
660	0
661	0
662	0
663	0
664	1
665	0
666	0
667	0
668	0
669	1
670	0
671	1
672	0
673	0
674	1
675	0
676	1
677	0
678	0
679	0
680	1
681	1
682	0
683	1
684	0
685	1
686	1
687	0
688	1
689	0
690	0
691	0
692	0
693	1
694	0
695	0
696	1
697	1
698	0
699	1
700	0
701	0
702	0
703	1
704	1
705	1
706	1
707	1
708	0
709	1
710	0
711	1
712	0
713	0
714	1
715	0
716	0
717	0
718	0
719	0
720	0
721	1
722	1
723	0
724	0
725	1
726	1
727	0
728	0
729	0
730	0
731	1
732	1
733	1
734	0
735	0
736	1
737	1
738	1
739	1
740	0
741	1
742	1
743	1
744	1
745	0
746	0
747	0
748	1
749	1
750	0
751	1
752	0
753	0
754	0
755	0
756	0
757	0
758	0
759	0
760	0
761	1
762	0
763	0
764	0
765	1
766	1
767	0
768	1
769	0
770	0
771	0
772	0
773	1
774	0
775	0
776	0
777	0
778	1
779	1
780	0
781	0
782	1
783	0
784	0
785	0
786	1
787	0
788	1
789	0
790	0
791	1
792	0
793	0
794	1
795	0
796	1
797	1
798	0
799	0
800	1
801	0
802	1
803	0
804	1
805	1
806	0
807	0
808	1
809	1
810	0
811	0
