,intercept,age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,race,sex,priors_count,c_charge_degree,two_year_recid
0,1.0,0.0,1.0,0.0,0,1.0,-0.0946659818477278,0.0,0
1,1.0,0.0,0.0,1.0,1,0.0,-0.5048852365212151,1.0,0
2,1.0,1.0,0.0,0.0,0,1.0,0.520662900162503,0.0,1
3,1.0,0.0,1.0,0.0,1,1.0,-0.2997756091844715,0.0,0
4,1.0,1.0,0.0,0.0,0,1.0,-0.2997756091844715,1.0,0
5,1.0,1.0,0.0,0.0,0,0.0,-0.7099948638579587,1.0,0
6,1.0,0.0,0.0,1.0,1,1.0,-0.5048852365212151,1.0,0
7,1.0,1.0,0.0,0.0,0,1.0,1.135991782172734,1.0,1
8,1.0,1.0,0.0,0.0,0,1.0,0.3155532728257594,0.0,0
9,1.0,1.0,0.0,0.0,1,1.0,-0.0946659818477278,0.0,0
10,1.0,0.0,1.0,0.0,0,1.0,0.9308821548359902,0.0,0
11,1.0,1.0,0.0,0.0,0,1.0,0.1104436454890157,1.0,1
12,1.0,1.0,0.0,0.0,0,1.0,0.520662900162503,0.0,0
13,1.0,0.0,1.0,0.0,1,1.0,-0.0946659818477278,1.0,1
14,1.0,1.0,0.0,0.0,0,1.0,2.366649546193196,1.0,1
15,1.0,0.0,0.0,1.0,0,0.0,-0.7099948638579587,1.0,0
16,1.0,1.0,0.0,0.0,0,1.0,2.5717591735299394,0.0,1
17,1.0,0.0,1.0,0.0,1,1.0,0.7257725274992466,0.0,1
18,1.0,1.0,0.0,0.0,0,0.0,0.7257725274992466,1.0,1
19,1.0,1.0,0.0,0.0,1,1.0,-0.7099948638579587,1.0,0
20,1.0,1.0,0.0,0.0,0,1.0,-0.0946659818477278,1.0,0
21,1.0,0.0,1.0,0.0,1,1.0,-0.7099948638579587,0.0,0
22,1.0,0.0,1.0,0.0,1,1.0,-0.0946659818477278,0.0,1
23,1.0,1.0,0.0,0.0,0,0.0,-0.5048852365212151,1.0,0
24,1.0,1.0,0.0,0.0,0,1.0,-0.7099948638579587,1.0,0
